season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2002,1,HOU,REG,2002_01_DAL_HOU,DAL,10,22,145,2,1,6,-22,0,0,-7,145,5,-9.248628151432724,,0,4,3,2,1,35,87,0,1,0,3,-11.80008454399649,0,3,2,0,0,10,22,145,2,0,0,-7,0,5,-0.7595276818610728,0,4,3,2,1,0,51,1,1,4,20,2,3.0,19.0,3,1,0,12,0,0,1,0,1,-9,1,0,0,11,80,3,0,1,0,1,0,4,21,4,85,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,2,2,0,0,1.0,0,0,0,0,0,10,0,49,412,6,0,1,0,2,7,10,0,402
2002,2,HOU,REG,2002_02_HOU_SD,LAC,6,25,87,0,2,9,-58,1,1,26,87,4,-28.893126348266378,,0,4,2,2,0,25,89,0,0,0,3,-4.949468093558737,0,3,2,0,0,6,21,87,0,1,0,26,0,4,-9.494745884207077,0,4,2,2,0,0,46,10,10,5,27,0,2.0,20.0,1,1,34,4,0,0,0,0,0,0,0,0,0,12,73,3,2,0,1,2,1,5,79,4,61,1,1,0,0,45,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,0,0,0,0,,0,0,0,0,0,10,0,53,406,3,0,3,0,1,6,-2,0,408
2002,3,HOU,REG,2002_03_IND_HOU,IND,12,22,99,0,1,4,-21,1,1,15,99,1,-13.193300523066007,,0,5,0,0,0,30,126,0,0,0,7,-2.225938360323198,0,2,2,1,0,12,21,99,0,0,0,15,0,1,-7.548473842236724,0,5,0,0,0,0,47,6,12,7,31,2,3.0,21.0,3,0,0,3,0,0,0,0,0,0,2,1,0,9,67,4,1,0,0,1,1,2,16,6,121,1,2,1,0,24,0.5,0,1,0,0,0,0,0,0,0,0,1,0,24,54,,24,54,0,0,0,0,0,,0,0,0,0,0,7,0,45,281,0,0,0,0,3,4,64,0,217
2002,4,HOU,REG,2002_04_HOU_PHI,PHI,16,29,188,2,2,7,-37,1,0,46,188,8,-11.204414195898211,,0,8,4,3,0,24,91,0,1,1,3,-3.817686967784539,0,0,0,0,0,16,25,188,2,0,0,46,0,8,0.4051570436053544,0,8,4,3,0,0,49,1,23,3,9,3,3.0,27.0,3,1,7,11,0,0,0,0,1,0,2,8,0,11,83,3,2,0,0,2,1,2,15,7,173,1,1,0,0,48,1.0,0,0,0,1,0,0,0,0,0,0,0,0,48,,,48,0,0,2,2,0,0,1.0,0,0,0,0,0,7,0,50,298,1,0,0,0,2,5,20,0,278
2002,6,HOU,REG,2002_06_BUF_HOU,BUF,13,24,223,2,0,5,-26,0,0,0,223,9,0.36476834580300155,,0,8,5,3,1,29,141,1,1,0,6,1.4627256686799228,0,5,5,1,0,13,21,223,2,0,0,0,0,9,5.689232185038252,0,8,5,3,1,0,39,15,17,4,25,3,3.0,24.0,1,0,0,8,0,0,0,0,1,-2,1,2,0,11,75,6,0,1,0,1,0,2,12,5,108,1,1,0,0,26,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,3,3,0,0,1.0,0,0,0,0,0,5,0,53,233,1,0,0,1,2,2,9,0,204
2002,7,HOU,REG,2002_07_HOU_CLE,CLE,23,37,306,2,0,8,-41,1,1,0,306,12,5.8634450226865,,0,10,8,7,0,22,89,0,0,0,4,-6.1365123797342225,0,4,4,1,0,23,36,306,2,0,0,0,0,12,21.797946557421817,0,10,8,7,0,0,33,17,17,1,7,0,1.0,7.0,1,0,0,6,0,2,0,0,1,0,0,0,0,6,54,6,2,1,0,3,2,4,14,7,99,1,2,1,0,47,0.5,0,0,0,1,0,0,0,0,0,1,0,0,47,40,,47,40,0,2,2,0,0,1.0,0,0,0,0,0,7,0,48,272,1,0,1,1,2,3,17,0,235
2002,8,HOU,REG,2002_08_HOU_JAX,JAX,27,52,386,2,0,9,-61,0,0,0,386,16,9.554646210912352,,1,17,10,7,1,63,207,2,2,1,10,-10.602619869687235,0,5,3,1,0,27,50,386,2,0,0,0,0,16,13.639792225956654,1,17,10,7,1,0,110,0,6,14,72,0,9.0,61.0,9,0,0,7,3,0,1,0,1,-2,1,0,0,14,110,8,0,2,0,2,1,9,131,10,213,3,6,3,0,45,0.5,0,0,1,2,0,0,0,0,1,1,1,0,43;34;45,50;45;35,,122,130,0,3,3,0,0,1.0,0,0,0,0,0,14,1,54,616,3,0,1,2,2,9,131,0,445
2002,9,HOU,REG,2002_09_CIN_HOU,CIN,18,32,199,0,2,2,-13,0,0,17,199,13,-16.628344774274794,,0,10,4,2,0,25,82,0,0,0,3,-5.3137230853317305,0,1,0,0,0,18,30,199,0,0,0,17,0,13,-11.725880558863919,0,10,4,2,0,0,32,20,30,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,60,3,0,0,0,0,0,2,40,7,130,1,3,1,1,23,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,23,53,46,23,53,46,0,0,0,0,,0,0,0,0,0,4,0,55,185,2,0,1,0,1,2,13,0,172
2002,10,HOU,REG,2002_10_HOU_TEN,TEN,19,34,182,1,2,4,-17,1,0,20,182,10,-6.917834581010667,,0,9,2,2,0,24,68,0,1,1,2,-12.608339833794162,0,2,2,0,0,19,31,182,1,0,0,20,0,10,3.515068303426104,0,9,2,2,0,0,40,8,14,4,8,0,0.0,0.0,0,2,12,7,0,0,0,0,2,-1,0,0,0,5,47,3,1,2,0,3,1,3,15,3,65,1,1,0,0,51,1.0,0,0,0,0,1,0,0,0,0,0,0,0,51,,,51,0,0,1,1,0,0,1.0,0,0,0,0,0,5,0,47,197,3,0,0,0,4,1,4,0,193
2002,11,HOU,REG,2002_11_JAX_HOU,JAX,22,30,228,1,1,4,-34,0,0,8,228,10,-6.169049070507754,,0,10,4,2,1,28,78,2,1,0,6,1.5885879454144742,0,2,1,0,0,22,30,228,1,0,0,8,0,10,-4.28565194492694,0,10,4,2,1,0,37,14,14,6,29,0,5.0,25.0,5,1,0,7,0,1,0,0,1,0,0,0,0,5,40,4,0,2,0,2,1,2,1,5,92,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0,6,0,44,208,3,0,1,0,3,2,12,0,196
